*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=AnalogSignalGenerator
*Date=10:45:46
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;100.229;-35.2045;0;Bottom;Copper Fill62
2;;;62.1236;-32.6499;0;Bottom;Via89
3;;;19.5834;-1.32088;0;Bottom;Copper Fill258
4;;;98.6029;-76.378;0;Bottom;Copper Fill120
5;;;53.5687;-3.12428;0;Bottom;Copper Fill250
6;;;82.6517;-29.4895;0;Bottom;Copper Fill224
7;1.87k;0805 [SMD];64.5087;-37.0948;0;Top;A4.R2
8;;;23.3934;-1.32088;0;Bottom;Copper Fill259
9;;;91.6687;-19.5835;0;Bottom;Copper Fill225
10;;;100.229;-40.2845;0;Bottom;Copper Fill182
11;;;27.8337;-50.4299;0;Bottom;Via43
12;;;30.9627;-78.6894;0;Bottom;Copper Fill112
13;;;84.3486;-47.8899;0;Bottom;Via109
14;;;65.2654;-47.4473;0;Bottom;Copper Fill267
15;;;23.2664;-62.0015;0;Bottom;Copper Fill152
16;10µF;0805 [SMD, multilayer];60.8537;-89.5548;90;Bottom;BUF8
17;;;38.2017;-78.3846;0;Bottom;Copper Fill6
18;;;13.7607;-53.9496;0;Bottom;TXT5
19;;;75.2095;-91.1227;0;Bottom;Copper Fill305
20;220;0805 [SMD];65.6887;-4.70976;0;Top;RL6
21;;;10.0584;-32.2835;0;Bottom;Copper Fill183
22;15nF;0805 [SMD, multilayer];83.2836;-34.2948;180;Top;A4.C3
23;;;30.226;-37.1857;0;Bottom;Copper Fill194
24;10nF;0805 [SMD, multilayer];83.3338;-39.8947;0;Top;A4.C4
25;;;50.6936;-47.8899;0;Bottom;Via112
26;;;79.1211;-26.8987;0;Bottom;Copper Fill223
27;;;66.7513;-61.6205;0;Bottom;Copper Fill154
28;;;65.2654;-47.4473;0;Bottom;Copper Fill76
29;;;101.41;-21.0695;0;Top;blkr5
30;;;88.1889;-28.3211;0;Bottom;Copper Fill226
31;;;33.5535;-72.822;0;Bottom;Copper Fill20
32;;;67.8386;-28.2049;0;Bottom;Via20
33;;;68.3769;-76.1494;0;Bottom;Copper Fill115
34;;;99.0128;-28.5988;0;Top;blkr6
35;;;75.4254;-13.4113;0;Bottom;Copper Fill292
36;;;65.0495;-38.4811;0;Bottom;Copper Fill186
37;;;55.1689;-35.6871;0;Bottom;Copper Fill198
38;;;22.7537;-66.3049;0;Bottom;Via79
39;;;55.7736;-47.8899;0;Bottom;Via106
40;;;25.1206;-75.5398;0;Bottom;Copper Fill125
41;1M;0805 [SMD];32.9137;-17.0197;-90;Bottom;R28
42;;;26.2382;-34.8743;0;Bottom;Copper Fill54
43;;;21.1074;-56.8453;0;Bottom;Copper Fill139
44;;;92.7609;-61.6205;0;Bottom;Copper Fill155
45;1M;0805 [SMD];7.5137;-17.1648;-90;Bottom;RP*
46;;;102.184;-26.3526;0;Bottom;Copper Fill276
47;;;44.6533;-68.3008;0;Bottom;Copper Fill131
48;;;100.229;-37.7445;0;Bottom;Copper Fill53
49;220;0805 [SMD];46.0037;-96.1498;0;Top;RL4
50;;;88.735;-47.4473;0;Bottom;Copper Fill295
51;;;48.1536;-87.8948;0;Bottom;Via103
52;;;13.8684;-12.2429;0;Bottom;Copper Fill239
53;220;0805 [SMD];4.58371;-5.34477;180;Top;RL2
54;;;11.3284;-12.2429;0;Bottom;Copper Fill238
55;;;98.1457;-21.2726;0;Bottom;Copper Fill268
56;;;100.229;-55.5245;0;Bottom;Copper Fill40
57;;;71.0136;-49.7949;0;Bottom;Via35
58;;;77.5463;-22.7585;0;Bottom;Copper Fill231
59;;;104.673;-86.0346;0;Bottom;Via32
60;;;77.9019;-32.7153;0;Bottom;Copper Fill210
61;1M;0805 [SMD];37.9937;-17.0197;-90;Bottom;R27
62;1M;0805 [SMD];15.1337;-17.1648;-90;Bottom;R6
63;;;78.8925;-5.61348;0;Bottom;Copper Fill73
64;;;30.3736;-79.0048;0;Bottom;Via82
65;;;29.7435;-66.9037;0;Bottom;Copper Fill25
66;1.5k;0805 [SMD];71.6487;-80.5198;90;Top;RP3
67;;;53.3446;-19.3519;0;Top;blkr2
68;;;21.4884;-12.2429;0;Bottom;Copper Fill242
69;;dipswitch-08;16.4037;-17.4098;0;Bottom;SW1
70;1M;0805 [SMD];20.2137;-17.1648;-90;Bottom;R5
71;;;64.9225;-28.1941;0;Bottom;Copper Fill219
72;;;75.8699;-34.7219;0;Bottom;Copper Fill196
73;;;88.735;-47.4473;0;Bottom;Copper Fill92
74;;;54.9911;-56.3628;0;Bottom;Copper Fill127
75;;;15.7734;-54.9403;0;Bottom;Copper Fill149
76;;;100.641;-19.4396;0;Top;blkr4
77;;;84.3154;-47.4473;0;Bottom;Copper Fill288
78;;;39.6495;-34.4425;0;Bottom;Copper Fill58
79;;;15.7734;-1.32088;0;Bottom;Copper Fill257
80;;;93.9801;-47.9426;0;Bottom;Copper Fill298
81;;;100.229;-32.8677;0;Bottom;Copper Fill63
82;;DIP (Dual Inline) [THT];30.3737;-78.3698;90;Bottom;IC1
83;1.87k;0805 [SMD];83.2836;-37.0948;180;Top;A4.R3
84;;;33.5788;-96.3424;0;Bottom;Copper Fill103
85;100nF;0805 [SMD, multilayer];41.1687;-34.3098;90;Bottom;BUF11
86;15nF;0805 [SMD, multilayer];77.9338;-34.2948;0;Top;A3.C3
87;;;32.9136;-55.5099;0;Bottom;Via65
88;;;76.035;-91.9482;0;Bottom;Copper Fill303
89;;;18.9484;-64.4145;0;Bottom;Copper Fill32
90;;;50.635;-48.4379;0;Bottom;Copper Fill283
91;;;84.0233;-32.7153;0;Bottom;Copper Fill211
92;;;28.6004;-69.4692;0;Bottom;Copper Fill134
93;;;20.2184;-75.5144;0;Bottom;Copper Fill126
94;;;75.9995;-31.1783;0;Top;blkr3
95;;;79.9036;-28.2049;0;Bottom;Via21
96;;;55.2704;-50.0128;0;Bottom;Copper Fill249
97;1M;0805 [SMD];48.1537;-17.0197;-90;Bottom;R24
98;;;76.3017;-14.313;0;Bottom;Copper Fill293
99;;;89.4589;-32.7153;0;Bottom;Copper Fill213
100;;;94.9453;-47.9426;0;Bottom;Copper Fill299
101;;;27.813;-81.204;0;Bottom;Copper Fill111
102;;;29.1084;-44.2723;0;Bottom;Copper Fill175
103;;;84.3486;-9.7899;0;Bottom;Via100
104;;;50.635;-47.4473;0;Bottom;Copper Fill284
105;10µF;0805 [SMD, multilayer];86.2537;-89.5548;90;Bottom;BUF6
106;;;1.16371;-38.3649;0;Bottom;Via1
107;;;79.7815;-56.439;0;Bottom;Copper Fill178
108;;;100.229;-42.8245;0;Bottom;Copper Fill50
109;;;12.3698;-54.4069;0;Bottom;Copper Fill41
110;;;21.4837;-78.3698;0;Bottom;Via83
111;;1206 [SMD];40.5338;-3.71984;-90;Top;Sys 2B1
112;;;68.7325;-26.8479;0;Bottom;Copper Fill228
113;1.24k;0805 [SMD];69.1087;-43.6897;90;Top;A4.R1
114;;;32.9136;-7.8849;0;Bottom;Via99
115;;;78.8163;-35.6871;0;Bottom;Copper Fill200
116;;;81.7754;-88.062;0;Bottom;Copper Fill98
117;;;4.3688;-39.6241;0;Bottom;Copper Fill51
118;10nF;0805 [SMD, multilayer];54.2587;-39.8947;180;Top;C1
119;;;59.3345;-38.4811;0;Bottom;Copper Fill185
120;;;36.0935;-78.6894;0;Bottom;Copper Fill113
121;;;100.229;-40.2845;0;Bottom;Copper Fill52
122;15nF;0805 [SMD, multilayer];59.9088;-34.2948;0;Top;A1.C2
123;;;88.7985;-74.2698;0;Bottom;Copper Fill11
124;;;107.209;-14.2349;0;Bottom;Via94
125;;;12.5445;-74.4164;0;Bottom;TXT5
126;1.87k;0805 [SMD];54.2587;-37.0948;180;Top;R2
127;1.24k;0805 [SMD];83.0787;-43.6897;90;Top;A4.R5
128;;1206 [SMD];21.4837;-3.71984;-90;Top;Sys 3A1
129;;;40.5336;-68.2099;0;Bottom;Via66
130;;;76.5935;-7.98923;0;Top;blkr1
131;;;98.4505;-74.0031;0;Bottom;Copper Fill278
132;;;88.4175;-38.4811;0;Bottom;Copper Fill190
133;;;61.4886;-9.7899;0;Bottom;Via102
134;;;82.4993;-55.8548;0;Bottom;Copper Fill122
135;220;0805 [SMD];40.5337;-17.0197;-90;Bottom;R29
136;;;60.795;-88.062;0;Bottom;Copper Fill99
137;;;100.229;-45.3645;0;Bottom;Copper Fill49
138;;;17.6737;-67.5749;0;Bottom;Via52
139;;;28.4735;-55.8293;0;Bottom;Copper Fill160
140;;;93.7769;-26.2383;0;Bottom;Copper Fill227
141;;;36.3983;-34.8743;0;Bottom;Copper Fill56
142;;;36.0935;-67.7166;0;Bottom;Copper Fill130
143;;;77.0973;-31.2257;0;Bottom;blkr9
144;;;53.1606;-19.9931;0;Bottom;blkr8
145;;;54.1783;-5.58808;0;Bottom;Copper Fill244
146;;;55.715;-47.4473;0;Bottom;Copper Fill280
147;;;21.4837;-68.8449;0;Bottom;Via80
148;;;94.0563;-38.4811;0;Bottom;Copper Fill191
149;;;22.1234;-52.4003;0;Bottom;Copper Fill164
