*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=HighVoltageAmplifier
*Date=10:32:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;adjustable;sot223;27.41;-69.2701;90;Top;T2
2;0.47µF;0805 [SMD, multilayer];65.2267;-57.0971;180;Top;C2
3;220;2512 [SMD];85.0415;-96.4671;180;Top; v R9
4;1M;0805 [SMD];9.41913;-7.00464;-90;Bottom;R45
5;;;17.4752;-31.801;0;Bottom;Copper Fill178
6;;;96.4502;-36.1171;0;Bottom;Via229
7;220;0805 [SMD];20.8491;-93.9996;-90;Top;R4
8;100nF;0805 [SMD, multilayer];67.429;-28.8269;180;Top;CBUF
9;;;41.7576;-57.7979;0;Bottom;Copper Fill97
10;;;31.496;-85.8776;0;Bottom;Copper Fill125
11;;;4.1148;-71.7044;0;Bottom;Copper Fill4
12;;;69.4035;-11.3929;0;Bottom;TXT1
13;;;59.5842;-26.2997;0;Bottom;Via292
14;;;51.3292;-42.4922;0;Bottom;Via8
15;;;49.3649;-1.4988;0;Bottom;Copper Fill221
16;;;8.128;-48.1586;0;Bottom;Copper Fill13
17;;;67.9028;-79.2688;0;Bottom;IMG1
18;;;56.4006;-40.2333;0;Bottom;Via9
19;;;89.7466;-85.3547;0;Bottom;Via183
20;;;13.7668;-51.0542;0;Bottom;Copper Fill150
21;100nF;0805 [SMD, multilayer];65.3717;-33.6021;0;Top;C123
22;;;9.6266;-30.7342;0;Bottom;Copper Fill180
23;;;39.8145;-40.945;0;Bottom;Copper Fill107
24;;;93.8741;-56.4622;0;Bottom;Via225
25;;;72.8853;-59.3854;0;Bottom;Copper Fill94
26;220;0805 [SMD];44.979;-8.98471;-90;Top;R8
27;;;97.2592;-94.6346;0;Bottom;C99
28;220;0805 [SMD];18.9441;-69.4071;90;Top;R3
29;;;65.2619;-66.5016;0;Top;blkr38
30;;;18.6466;-26.9528;0;Bottom;Via133
31;;;63.6778;-11.1508;0;Bottom;Copper Fill33
32;;;76.074;-22.477;0;Bottom;Via215
33;;;74.4474;-4.1531;0;Bottom;Copper Fill220
34;220;2512 [SMD];85.0415;-83.1321;180;Top;R92
35;;;44.9453;-1.4988;0;Bottom;Copper Fill224
36;;;12.2766;-35.8247;0;Bottom;Via120
37;100nF;1206 [SMD, multilayer];58.2682;-44.6784;0;Top;C1
38;4.7µF;1206 [SMD, multilayer];29.045;-44.7337;0;Top;C1
39;;;72.9105;-42.4559;0;Bottom;Via15
40;100nF;0805 [SMD, multilayer];91.8966;-40.5871;0;Bottom;C97
41;;;85.852;-14.3512;0;Bottom;Copper Fill208
42;;;73.5076;-54.2927;0;Bottom;Copper Fill86
43;;;9.6901;-16.2308;0;Bottom;Copper Fill228
44;4.7µF;1206 [SMD, multilayer];24.9767;-80.3121;90;Top;C1
45;;;89.7466;-96.1497;0;Bottom;Via178
46;220;0805 [SMD];22.4366;-81.2996;-90;Top;R4
47;220;0805 [SMD];44.4121;-64.9639;45;Top;R3
48;;;62.8142;-47.3204;0;Bottom;Copper Fill162
49;;;33.9725;-58.471;0;Bottom;Copper Fill93
50;220;0805 [SMD];83.3241;-54.2396;180;Top;R5
51;100nF;0805 [SMD, multilayer];35.0642;-57.7322;0;Bottom;C134
52;;;97.0994;-16.5608;0;Bottom;blkr21
53;;;2.11657;-25.3357;0;Bottom;Via152
54;;;17.0199;-33.9005;0;Bottom;Via161
55;220;0805 [SMD];50.3042;-98.0546;180;Top;R3
56;;;39.6494;-32.3598;0;Bottom;Copper Fill20
57;;;94.3102;-25.8828;0;Bottom;Copper Fill190
58;;;42.2809;-22.4688;180;Bottom;Teensy 3.2
59;;;30.0567;-78.6872;0;Bottom;Via276
60;;;12.5476;-32.8424;0;Bottom;Copper Fill177
61;;;46.0756;-46.66;0;Bottom;Copper Fill170
62;;;5.8166;-62.8652;0;Bottom;Copper Fill143
63;;;80.8566;-72.0197;0;Bottom;Via290
64;;;61.1124;-92.3927;0;Bottom;Copper Fill111
65;;;6.858;-87.046;0;Bottom;Copper Fill1
66;;;62.0268;-72.0092;0;Bottom;Copper Fill16
67;;;52.7304;-92.3927;0;Bottom;Copper Fill91
68;;;89.3572;-12.3827;0;Bottom;Copper Fill245
69;220;0805 [SMD];45.5417;-97.1021;180;Top;R5
70;;;52.4764;-28.4228;0;Bottom;Copper Fill25
71;;;32.1818;-4.7627;0;Bottom;Copper Fill232
72;;;19.05;-74.473;0;Bottom;Copper Fill133
73;220;0805 [SMD];51.0031;-62.7034;90;Top;R5
74;;;19.8966;-65.6697;0;Bottom;Via259
75;;;58.9153;-49.835;0;Bottom;Copper Fill72
76;;;70.9168;-27.9402;0;Bottom;Copper Fill188
77;;;6.0198;-45.3646;0;Bottom;Copper Fill163
78;;;89.7466;-87.2597;0;Bottom;Via182
79;;;91.3341;-69.4796;0;Bottom;Via235
80;;;49.7417;-96.1497;0;Bottom;Via262
81;;;81.789;-12.317;0;Bottom;Via170
82;220;0805 [SMD];90.1367;-71.7021;0;Top;R4
83;;;66.6167;-7.88467;-90;Bottom;DC1
84;;;77.344;-29.462;0;Bottom;Via168
85;220;0805 [SMD];21.7799;-69.4262;90;Top;R6
86;;;51.0031;-65.6334;0;Bottom;Via14
87;;SO;90.0642;-24.8391;0;Top;IC1
88;220;0805 [SMD];30.4467;-87.5771;0;Top;R1
89;;;21.7297;-65.1258;0;Bottom;Copper Fill75
90;220;0805 [SMD];49.4241;-8.98471;-90;Top;R8
91;4.7µF;1206 [SMD, multilayer];70.9682;-44.6784;0;Top;C1
92;;;16.0866;-17.4097;0;Bottom;Via150
