*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PiezoFilter
*Date=10:28:20
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;7.23325;-3.06473;0;Bottom;IMG1
2;;;45.1358;-13.6645;0;Bottom;Copper Fill7
3;;;77.8502;-16.1584;0;Bottom;C108
4;;;87.1651;-2.8234;0;Bottom;Hole4
5;;;2.71008;-24.4134;0;Bottom;Hole1
6;;;38.3032;-20.2939;0;Bottom;Copper Fill5
7;;;77.8502;-7.75842;0;Bottom;C110
8;;;77.8502;-20.3584;0;Bottom;OUT
9;;;25.6102;-7.26843;180;Bottom;L5
10;;;32.2326;-20.2939;0;Bottom;Copper Fill4
11;;;78.029;-1.88559;0;Bottom;TXT1
12;;;77.8502;-11.9584;0;Bottom;C109
13;;;18.6944;-20.2939;0;Bottom;Copper Fill3
14;;;25.6102;-19.9684;180;Bottom;L1
15;;;38.3102;-19.9684;180;Bottom;L2
16;;;51.0102;-19.9684;180;Bottom;L3
17;;;45.1358;-13.6645;0;Bottom;Copper Fill2
18;;;87.1651;-24.4134;0;Bottom;Hole2
19;;;63.7102;-19.9684;180;Bottom;L4
20;;;11.8102;-11.9584;0;Bottom;C105
21;;;11.8102;-20.3584;0;Bottom;IN
22;;;51.0102;-7.26843;180;Bottom;L7
23;;;11.8102;-7.75842;0;Bottom;C106
24;;;44.6532;-20.2939;0;Bottom;Copper Fill6
25;;;70.5104;-20.2939;0;Bottom;Copper Fill1
26;;;2.71008;-2.8234;0;Bottom;Hole3
27;;;11.8102;-16.1584;0;Bottom;C104
28;;;38.3102;-7.26843;180;Bottom;L6
29;;;63.7102;-7.26843;180;Bottom;L8
